Condicional	Identificacao	Pergunta	Tipo de Resposta	Alternativa 1	Alternativa 2	Alternativa 3	Alternativa 4	Alternativa 5	Alternativa 6	Alternativa 7	Alternativa 8
	1A	Quão bem você está protegido por meio de seguros contra riscos significativos na vida, como roubo, incêndio, acidentes, doenças e morte?	A5	Muito baixa proteção	Alguma proteção	Proteção considerável	Muita proteção	Nenhuma proteção	-	-	-
"window.resposta['1A'] != ""5"""	1B	Quais dos tipos de seguro abaixo você tem atualmente?	C7	Seguro de vida	Seguro de saúde	Seguro de automóvel	Seguro residencial	Seguro de invalidez (parcial ou total)	Seguro de renda	OUTRO(s)	-
"window.resposta['1B'].includes(""7"")"	1C	OUTRO(s) (por favor, especifique)	S1	-	-	-	-	-	-	-	-
	2A	Consigo economizar dinheiro regularmente.	A7	Discordo fortemente	Discordo moderadamente	Discordo um pouco	Neutro	Concordo um pouco	Concordo moderadamente	Concordo fortemente	-
['5','6','7'].includes(window.resposta['2A'])	2B	Se eu parar de receber (salário, bolsa, aposentadoria ou se meus negócios não forem bem) por 3 meses, acredito que consigo lidar com minhas despesas usando minhas economias:	A7	Discordo fortemente	Discordo moderadamente	Discordo um pouco	Neutro	Concordo um pouco	Concordo moderadamente	Concordo fortemente	-
	APOIO1	Falta pouco para terminar o questionario, só mais algumas perguntas!	A1	Ok!	-	-	-	-	-	-	-
['5','6','7'].includes(window.resposta['2A'])	P1	Imagine que um parente lhe deixou uma herança de R$ 100.000, com a condição de colocar TODO o dinheiro na opção mais segura. Qual opção você escolheria?	A4	Assumo um risco financeiro substancial esperando ganhar um retorno substancial	Assumo um risco financeiro acima da média esperando ganhar um retorno acima da média	Assumo um risco financeiro médio esperando ganhar um retorno médio	Não desejo assumir algum risco financeiro	-	-	-	-
['5','6','7'].includes(window.resposta['2A'])	P2	Quando invisto, a segurança do meu investimento é mais importante para mim do que ganhos altos.	A7	Discordo fortemente	Discordo moderadamente	Discordo um pouco	Neutro	Concordo um pouco	Concordo moderadamente	Concordo fortemente	-
['5','6','7'].includes(window.resposta['2A'])	P3	Qual das afirmações seguintes é a mais próxima da quantidade de risco que você está disposto a assumir quando você economiza ou faz investimentos?	A7	Discordo fortemente	Discordo moderadamente	Discordo um pouco	Neutro	Concordo um pouco	Concordo moderadamente	Concordo fortemente	-
['5','6','7'].includes(window.resposta['2A'])	P4	"Às vezes, investimentos que são tidos como ""completamente seguros"" podem render menos do que o aumento dos preços ao longo do tempo, o que chamamos de inflação. Isso significa que, embora você não perca dinheiro diretamente, seu dinheiro compra menos coisas. Pensando nos seus objetivos financeiros, qual destas afirmações faz mais sentido para você?"	A4	Guardar em uma conta de poupança ou investir em um fundo de renda fixa de curto prazo	Investir em um fundo diversificado que tem ações e renda fixa	Investir em 15 ações de empresas diferentes	Investir em ativos como ouro, prata e cripto	-	-	-	-
['5','6','7'].includes(window.resposta['2A'])	P5	Imagine que você está pegando emprestado uma grande quantia de dinheiro em algum momento no futuro. Não está claro para qual direção as taxas de juros vão se mover - elas podem subir, podem descer, pois é difícil prevê-las. Você poderia optar por uma taxa de juros variável que aumentará e diminuirá conforme a taxa de mercado muda. Ou você poderia escolher uma taxa de juros fixa que seja 1% maior que a taxa variável atual, mas que não mudará quando a taxa de mercado mudar. Ou você poderia ainda escolher uma combinação de ambas. Como você preferiria que seu empréstimo fosse feito?	A3	Eu prefiro que meu dinheiro esteja em um investimento completamente seguro, mesmo que isso signifique que meus ganhos não acompanhem a inflação	Acompanhar a inflação é importante para mim. Estou disposto a permitir que meus investimentos cresçam a uma taxa semelhante à inflação	Crescer mais rápido que a inflação é o que eu busco. Estou disposto a assumir um nível razoável de risco para tentar alcançar esse objetivo	-	-	-	-	-
['5','6','7'].includes(window.resposta['2A'])	P6	Certos tipos de investimentos, como dinheiro guardado ou depósitos a prazo, têm um valor fixo. Contudo, a inflação pode diminuir o poder de compra desse valor ao longo do tempo. Em contraste, investimentos como ações e propriedades não têm um valor fixo e podem variar. No curto prazo, eles podem até mesmo cair abaixo do preço de compra. No entanto, ao longo dos anos, o valor de ações e propriedades tende a crescer mais rápido do que a taxa de inflação. Com isso em mente, o que é mais importante para você - que o valor de seus investimentos não caia ou que ele mantenha seu poder de compra?	A5	100% variável	75% variável, 25% fixa	50% variável, 50% fixa	25% variável, 75% fixa	100% fixa	-	-	-
['5','6','7'].includes(window.resposta['2A'])	P7	Quando estou investindo, penso principalmente nos possíveis ganhos.	A4	Muito mais importante que o valor não caia	Um pouco mais importante que o valor não caia	Um pouco mais importante que o valor mantenha seu poder de compra	Muito mais importante que o valor mantenha seu poder de compra	-	-	-	-
['5','6','7'].includes(window.resposta['2A'])	P8	Para nos ajudar a entender melhor como seus investimentos estão alinhados com o seu perfil de risco, gostaríamos de conhecer um pouco mais sobre onde você investe, ou coloca, suas economias. Vamos lá, considerando sua situação financeira atual, em que porcentagem aproximada do total de suas economias e investimentos você tem em cada uma das seguintes categorias? Coloque o percentual aproximado:	I4	Ações e/ou Fundo de Ações e/ou Fundos Imobiliários	Renda Fixa (CBD, Fundos de Renda Fixa)	Propriedade comercial, capital privado ou imóveis	Conta corrente ou em espécie	Ouro, bitcoin, forex ou instrumentos derivativos	Outros	-	-
