Condicional	Identificacao	Pergunta	Tipo de Resposta	Alternativa 1	Alternativa 2	Alternativa 3	Alternativa 4	Alternativa 5	Alternativa 6	Alternativa 7
	QS1	Qual seu nome?	S1	-	-	-	-	-	-	-
	QS2A	Quais das seguintes alternativas descreve melhor a forma como você se identifica hoje?	A4	Mulher	Homem	Queer, não-binário ou gênero fluido	Prefiro me autodescrever	-	-	-
"window.resposta['QS2A'] == ""4"""	QS2B	Eu me identifico como: 	S1	-	-	-	-	-	-	-
	QS3A	Sobre sua situação financeira, qual das seguintes opções melhor descreve seu cenário atual?	A3	Dependo de outras fontes de renda (pais, tios, etc.) e não tenho dependentes financeiros	Minha renda cobre todos os meus gastos e tenho dependentes financeiros	Minha renda cobre todos os meus gastos e não tenho dependentes financeiros	-	-	-	-
"window.resposta['QS3A'] == ""2"""	QS3B	Quantos dependentes financeiros?	I1	-	-	-	-	-	-	-
	QS4	Qual é o seu estado civil?	A5	Solteiro(a)	Casado(a)	Separado(a)	Divorciado(a)	Viúvo(a)	-	-
	QS5	Qual faixa de renda mensal melhor representa sua situação financeira atual?	A6	Até 1 salário mínimo (até R$ 1.320,00)	De 1 a 2 salários mínimos (de R$ 1.321,00 até R$ 2.640,00)	De 2 a 5 salários mínimos (de R$ 2.641,00 até R$ 6.600,00)	De 5 a 10 salários mínimos (de R$ 6.601,00 até R$ 13.200,00)	De 10 a 30 salários mínimos (de R$ 13.201,00 até R$ 39.600,00)	Mais de 30 salários mínimos (mais de R$ 39.600,00)	-
	QS6	Qual é o maior nível de educação que você concluiu?	A4	Ensino Fundamental	Ensino Médio	Graduação	Pós-Graduação	-	-	-
	QS7	Qual é a sua idade atual em anos?	I1	-	-	-	-	-	-	-
	QS8	Você trabalha/trabalhou em alguma posição diretamente relacionada ao mercado financeiro (agente autônomo, gestor de carteira, analista, acadêmico de finanças, etc.)?	A2	Sim	Não	-	-	-	-	-
