Condicional	Identificacao	Pergunta	Tipo de Resposta	Alternativa 1	Alternativa 2	Alternativa 3	Alternativa 4	Alternativa 5	Alternativa 6	Alternativa 7
	SF1A	Ao considerar a aquisição de um seguro abrangente que cobre diversos riscos cruciais da vida, como roubo, incêndio, acidente, doença e morte, você teria que escolher uma "franquia" – o valor que a seguradora não reembolsaria em caso de sinistro. À medida que a franquia aumenta, o custo do seguro diminui. Se fosse tomar essa decisão hoje, qual das opções abaixo melhor descreveria sua escolha?	A4	Franquia muito pequena ou sem franquia - custo mais alto do seguro.	Pequena franquia - alto custo do seguro.	Grande franquia - baixo custo do seguro.	Franquia muito grande – menor custo do seguro.	-	-	-
	SF1B	Agora, imagine que você precisa contratar um seguro para seu carro, avaliado em R$ 50.000. Este seguro cobre os principais riscos, incluindo roubo, incêndio e acidente. Há quatro opções de franquia, representando o valor que você pagaria em caso de sinistro. Quanto maior a franquia, menor será o custo anual do seguro. Quais das opção de franquia você escolheria?	A4	 Franquia de R$ 500 - seguro de R$ 3.000 por ano.	 Franquia de R$ 1.000 - seguro de R$ 2.500 por ano.	 Franquia de R$ 2.500 - seguro de R$ 2.000 por ano.	 Franquia de R$ 5.000 - seguro de R$ 1.500 por ano.	-	-	-
	SF2A	Com que frequência você consegue economizar dinheiro?	A3	Sempre - economizo periodicamente uma quantia fixa (ex: R$ 100 por mês)	Às vezes - economizo sem um padrão regular (ex: só quando obtenho renda extra ou sobra dinheiro no final do mês)	Nunca - não consigo guardar dinheiro	-	-	-	-
	SF2B	Qual frase melhor descreve sua situação?	A3	Não tenho dinheiro poupado.	Eu tenho algum dinheiro poupado para emergências.	Eu tenho mais recursos poupados do que apenas para emergências.	-	-	-	-
	SF2C	Você possui atualmente alguma aplicação financeira, como investimentos, poupança, previdência privada, ações, ou outros instrumentos financeiros?	A2	Sim	Não	-	-	-	-	-
	RTFK2	Suponha que você tenha pego 100 reais emprestados a uma taxa de juros de 10% ao ano e você pague esse empréstimo apenas após 5 anos. Qual é o valor da conta a ser paga após 5 anos?	A4	Mais de 150 reais	Exatamente 150 reais	Menos de 150 reais	Não sei	-	-	-
	RTAT2	Qual das afirmações seguintes é a mais próxima da quantidade de risco que você está disposto a assumir quando você economiza ou faz investimentos?	A3	 Aceito correr riscos maiores, inclusive com probabilidade de perdas de curto prazo, em busca de um retorno elevado	Aceito algum risco em toca de um retorno um pouco acima da média do mercado	Minha prioridade é preservar meu capital, tendo baixa tolerância a riscos	-	-	-	-
	RTAT1	Ao enfrentar uma decisão financeira importante, você está mais preocupado com as possíveis perdas ou os possíveis ganhos?	A4	Sempre com as possíveis perdas.	Geralmente com as possíveis perdas.	Geralmente com os possíveis ganhos.	Sempre com os possíveis ganhos.	-	-	-
	RTAT3	Quando você pensa na palavra "risco", qual das seguintes palavras vem à mente primeiro?	A4	Perda	Incerteza 	Oportunidade	 Emoção	-	-	-
	RTFK3	Certos tipos de investimentos, como dinheiro guardado ou depósitos a prazo, têm um valor fixo. Contudo, a inflação pode diminuir o poder de compra desse valor ao longo do tempo. Supondo que sua conta poupança rende juros de 10% ao ano e a inflação é de 12% ao ano. O que você acha: você conseguirá comprar mais, menos ou tanto quanto hoje com o saldo da sua conta de depósito depois de um ano?	A4	Mais do que hoje	Tanto quanto hoje	Menos do que hoje	Não sei	-	-	-
	RTFK1	Imagine que um parente lhe deixou uma herança de R$ 100.000, com a condição de colocar TODO o dinheiro na opção mais segura. Qual opção você escolheria?	A4	Guardar em uma conta de poupança ou investir em um fundo de renda fixa de curto prazo	Investir em um fundo diversificado que tem ações e renda fixa	Investir em ativos como ouro, prata e cripto	Não sei	-	-	-
	RTFIN1	Em quais produtos você tem mais familiaridade?	A5	(Grupo 1) Poupança;	(Grupo 2) Grupo 1 + Renda Fixa (Ex. CDB, LCA, LCI, Tesouro Direto, fundo DI,) protegidos pelo FGC;	(Grupo 3) Grupo 2 + Renda Variável, mercado de Ações (Ex. Fundos Multimercados, Fundos de Ações e Fundos Imobiliários) e derivativos (Ex: Opções, Futuros, Termo, Swap, etc.).	(Grupo 4) Grupo 3  + Ativos alternativos como ouro, bitcoin, forex e outros instrumentos derivativos.	 Não tenho familiaridade com nenhum desses investimentos	-	-
	RTFIN2	Quais são os produtos financeiros em que você já investiu nos últimos 24 meses?	A5	(Grupo 1) Poupança;	(Grupo 2) Grupo 1 + Renda Fixa (Ex. CDB, LCA, LCI, Tesouro Direto, fundo DI,) protegidos pelo FGC;	(Grupo 3) Grupo 2 + Renda Variável, mercado de Ações (Ex. Fundos Multimercados, Fundos de Ações e Fundos Imobiliários) e derivativos (Ex: Opções, Futuros, Termo, Swap, etc.).	(Grupo 4) Grupo 3  + Ativos alternativos como ouro, bitcoin, forex e outros instrumentos derivativos.	Não investi em produtos financeiros nos últimos 24 meses	-	-
